WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	Estimates Start After
963	BIH	NGDP_RPCH	Bosnia and Herzegovina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.853	13.814	10.750	4.442	2.362	5.053	3.858	6.257	4.236	5.691	5.979	5.594	-0.816	0.767	0.908	-0.707	2.351	1.150	3.074	3.215	2.700	3.200	3.500	3.700	3.900	4.000	4.000	2016
616	BWA	NGDP_RPCH	Botswana	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	12.020	8.154	15.874	10.793	6.517	7.695	8.616	14.890	23.420	4.665	8.787	6.237	-0.208	4.027	-0.786	7.030	5.830	8.027	0.721	9.667	1.987	0.250	6.070	4.625	2.706	4.556	8.364	8.280	6.242	-7.653	8.564	6.048	4.456	11.343	4.149	-1.698	4.315	2.166	4.571	4.521	4.375	4.183	4.116	4.179	2015
223	BRA	NGDP_RPCH	Brazil	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.190	-4.400	0.596	-3.400	5.307	7.901	7.544	3.601	0.264	3.200	-4.168	1.031	-0.555	4.910	5.839	4.232	2.212	3.398	0.343	0.467	4.386	1.383	3.054	1.140	5.765	3.196	3.957	6.061	5.091	-0.126	7.542	3.985	1.933	3.010	0.508	-3.550	-3.468	0.976	2.264	2.537	2.218	2.218	2.218	2.218	2017
516	BRN	NGDP_RPCH	Brunei Darussalam	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	-2.778	0.311	-0.360	2.206	1.085	3.148	4.759	0.301	3.149	4.477	2.881	-1.475	-0.560	3.053	2.853	2.745	3.872	2.903	0.504	0.388	4.412	0.120	-1.979	-1.819	2.652	3.744	0.913	-2.125	-2.508	-0.405	-2.465	0.547	0.988	7.992	7.834	10.244	5.016	9.142	2016
918	BGR	NGDP_RPCH	Bulgaria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.700	5.300	4.200	3.000	4.600	1.800	5.300	4.700	2.400	-0.500	-9.100	-10.755	-8.426	-11.625	-3.665	-1.601	-8.043	-1.646	4.861	-0.494	5.005	3.770	5.938	5.156	6.435	7.123	6.874	7.344	6.022	-3.586	1.324	1.915	0.031	0.862	1.329	3.617	3.941	3.562	3.800	3.100	2.800	2.800	2.800	2.800	2016
748	BFA	NGDP_RPCH	Burkina Faso	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.035	2.661	1.400	-1.200	1.600	11.300	7.955	-0.236	5.796	2.150	-0.603	9.070	0.233	3.461	1.315	5.716	11.015	6.317	7.308	7.333	1.887	6.609	4.353	7.810	4.478	8.665	6.252	4.108	5.800	2.962	8.446	6.627	6.453	5.793	4.327	3.895	5.915	6.424	6.024	6.034	5.981	6.045	6.066	5.339	2016
618	BDI	NGDP_RPCH	Burundi	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-6.825	12.164	-1.054	3.715	0.155	11.784	3.250	5.503	5.031	1.349	3.458	5.781	1.007	-6.236	-3.829	-7.919	-8.001	0.413	4.752	1.164	1.781	1.665	2.353	2.469	3.766	4.370	5.414	3.452	4.862	3.813	5.124	4.033	4.447	5.944	4.494	-3.956	-1.042	0.001	0.149	0.419	0.500	0.500	0.500	0.500	2015
624	CPV	NGDP_RPCH	Cabo Verde	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.263	8.450	2.822	9.523	3.780	8.643	2.872	4.308	5.997	5.698	0.692	1.403	3.045	7.310	6.930	7.492	6.694	7.639	8.413	11.860	7.267	6.138	5.283	7.502	4.927	5.810	9.118	9.218	6.651	-1.270	1.467	3.969	1.082	0.803	0.611	1.007	3.817	3.956	4.284	3.979	3.984	3.987	3.987	4.000	2016
522	KHM	NGDP_RPCH	Cambodia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9.616	3.327	1.118	7.592	7.069	4.042	8.181	6.443	5.412	5.620	5.009	11.910	8.767	8.148	6.579	8.506	10.341	13.250	10.771	10.213	6.692	0.087	5.963	7.183	7.255	7.443	7.067	7.197	7.042	6.947	6.898	6.785	6.465	6.270	6.023	6.008	2016
622	CMR	NGDP_RPCH	Cameroon	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific . Expenditure-based GDP is total final expenditures at purchasers? prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.900	17.051	7.563	6.844	7.468	8.107	6.791	-2.153	-7.865	-1.770	-6.161	-3.764	-3.050	-3.158	-2.495	3.304	4.912	5.314	4.895	4.062	3.553	4.368	4.237	4.567	6.781	2.021	3.458	4.902	3.489	2.199	3.423	4.129	4.543	5.404	5.884	5.651	4.450	3.179	4.027	4.483	4.971	5.123	5.307	5.492	2016
