WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	Estimates Start After	
218	BOL	NGDP_RPCH	Bolivia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.610	0.300	-3.939	-4.042	-0.201	-1.676	-2.574	2.463	2.910	3.790	4.636	5.267	1.646	4.269	4.667	4.678	4.361	4.954	5.029	0.427	2.508	1.684	2.486	2.711	4.173	4.421	4.797	4.564	6.148	3.357	4.127	5.204	5.122	6.796	5.461	4.857	4.264	4.195	4.224	2.217	-7.900	5.600	4.300	4.000	3.700	3.700	2019	
963	BIH	NGDP_RPCH	Bosnia and Herzegovina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.853	13.814	10.750	4.442	2.362	5.053	3.858	6.257	4.236	5.691	5.979	5.594	-0.816	0.767	0.908	-0.707	2.351	1.148	3.088	3.146	3.164	3.716	2.700	-6.500	5.000	4.000	3.500	3.500	3.500	2018	
616	BWA	NGDP_RPCH	Botswana	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	12.020	8.154	15.874	10.793	6.517	7.695	8.616	14.890	23.420	4.665	8.787	6.237	-0.208	4.027	-0.786	7.030	5.830	8.027	0.721	9.667	1.987	0.250	6.070	4.625	2.706	4.556	8.364	8.280	6.242	-7.652	8.564	6.048	4.456	11.344	4.149	-1.698	4.304	2.904	4.479	2.966	-9.627	8.708	4.343	4.070	4.073	4.105	2019	
223	BRA	NGDP_RPCH	Brazil	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	9.190	-4.400	0.596	-3.400	5.307	7.901	7.544	3.601	0.264	3.200	-4.168	1.031	-0.467	4.665	5.334	4.417	2.209	3.395	0.338	0.468	4.388	1.390	3.053	1.141	5.760	3.202	3.962	6.070	5.094	-0.126	7.528	3.974	1.921	3.005	0.504	-3.546	-3.276	1.323	1.317	1.137	-5.801	2.828	2.272	2.236	2.206	2.218	2019	
516	BRN	NGDP_RPCH	Brunei Darussalam	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	-2.778	0.311	-0.360	2.206	1.085	3.148	4.759	0.301	3.149	4.477	2.881	-1.475	-0.560	3.053	2.853	2.745	3.872	2.903	0.504	0.388	4.412	0.120	-1.979	-1.819	2.652	3.744	0.913	-2.125	-2.508	-0.405	-2.465	1.327	0.053	3.869	0.104	3.249	3.684	2.295	1.959	1.847	2019	
918	BGR	NGDP_RPCH	Bulgaria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.700	5.300	4.200	3.000	4.600	1.800	5.300	4.700	2.400	-0.500	-9.100	-10.755	-8.426	-11.625	-3.665	-1.601	-8.043	-14.193	4.285	-8.281	4.782	3.817	5.953	5.152	6.442	7.154	6.802	6.557	6.086	-3.424	0.570	2.351	0.361	0.319	1.895	3.989	3.812	3.507	3.084	3.372	-4.000	4.100	3.700	3.200	3.100	2.900	2019	
748	BFA	NGDP_RPCH	Burkina Faso	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.035	2.661	1.400	-1.200	1.600	11.300	7.955	-0.236	5.796	2.150	-0.603	9.070	0.233	3.461	1.315	5.716	11.015	6.317	7.308	7.333	1.888	6.613	4.353	7.802	4.478	8.662	6.253	4.111	5.800	2.962	8.446	6.623	6.453	5.793	4.327	3.921	5.959	6.156	6.821	5.689	-2.033	3.890	5.549	5.558	5.521	5.563	2018	
618	BDI	NGDP_RPCH	Burundi	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-6.825	12.164	-1.054	3.715	0.155	11.784	3.250	5.503	5.031	1.349	3.458	5.781	1.007	-6.236	-3.829	-7.919	-8.001	0.413	4.752	1.164	1.781	1.665	2.353	2.469	3.766	4.370	5.414	3.452	4.862	3.813	5.124	4.033	4.447	5.944	4.318	-3.856	-0.602	0.537	1.640	1.767	-3.244	3.128	2.023	2.143	2.320	2.608	2015	
624	CPV	NGDP_RPCH	Cabo Verde	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.263	8.450	2.822	9.523	3.780	8.643	2.872	4.308	5.997	5.698	0.692	1.403	3.045	7.310	6.930	7.492	6.694	7.639	8.413	11.860	7.267	6.138	5.283	7.502	4.927	5.810	9.118	9.218	6.651	-1.271	1.467	3.969	1.081	0.804	0.611	1.006	4.706	3.702	4.531	5.668	-6.771	4.481	4.780	5.747	6.003	6.199	2018	
522	KHM	NGDP_RPCH	Cambodia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9.616	3.327	1.118	7.592	7.069	4.042	8.181	5.979	5.898	4.007	4.682	12.705	9.575	8.561	6.579	8.506	10.341	13.250	10.771	10.213	6.692	0.087	5.963	7.070	7.313	7.357	7.143	7.036	6.863	6.997	7.533	7.045	-2.756	6.752	7.334	7.357	7.366	6.900	2018	
