WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	Estimates Start After	
514	BTN	NGDP_RPCH	Bhutan	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	4.995	13.589	8.195	7.337	7.616	4.349	7.954	20.229	15.079	6.194	9.098	4.896	2.083	3.192	2.232	6.019	5.971	5.544	6.009	7.087	6.934	7.040	9.516	9.049	6.423	6.069	6.266	11.016	9.886	6.133	9.878	10.018	6.638	3.334	3.705	6.155	7.514	5.855	3.505	4.648	-2.455	-3.293	4.826	4.644	4.295	4.969	5.181	3.570	3.903	5.114	2022	
218	BOL	NGDP_RPCH	Bolivia	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	0.610	0.300	-3.939	-4.042	-0.201	-1.676	-2.574	2.463	2.910	3.790	4.636	5.267	1.646	4.269	4.667	4.678	4.361	4.954	5.029	0.427	2.508	1.684	2.486	2.711	4.173	4.421	4.797	4.564	6.148	3.357	4.127	5.204	5.122	6.796	5.461	4.857	4.264	4.195	4.224	2.217	-8.738	6.111	3.606	2.500	1.600	2.200	2.200	2.300	2.300	2.300	2022	
963	BIH	NGDP_RPCH	Bosnia and Herzegovina	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.853	13.814	10.750	4.442	2.362	5.053	3.858	6.257	4.236	5.691	5.979	5.594	-0.816	0.767	0.908	-0.707	2.351	1.148	4.314	3.242	3.244	3.829	2.886	-3.015	7.392	4.227	1.800	2.500	3.000	3.000	3.000	3.000	3.000	2022	
616	BWA	NGDP_RPCH	Botswana	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	12.020	8.154	15.874	10.793	6.517	7.695	8.616	14.890	23.420	4.665	8.787	6.237	-0.208	4.027	-0.786	8.453	2.466	7.106	-1.622	8.035	4.271	2.348	7.434	5.388	1.397	4.972	6.034	5.793	3.252	-14.144	10.122	6.839	-0.171	11.103	5.697	-4.851	7.202	4.113	4.190	3.033	-8.726	11.867	5.782	3.245	3.574	4.593	4.011	3.992	4.023	3.979	2022	
223	BRA	NGDP_RPCH	Brazil	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	9.190	-4.400	0.596	-3.400	5.307	7.901	7.544	3.601	0.264	3.200	-4.168	1.031	-0.467	4.665	5.334	4.417	2.209	3.395	0.338	0.468	4.388	1.390	3.053	1.141	5.760	3.202	3.962	6.070	5.094	-0.126	7.528	3.974	1.921	3.005	0.504	-3.546	-3.276	1.323	1.784	1.221	-3.277	4.763	3.017	2.908	2.154	2.123	2.083	1.998	2.001	1.999	2023	
516	BRN	NGDP_RPCH	Brunei Darussalam	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	-2.715	2.009	1.097	-1.074	1.089	3.146	4.759	0.305	3.145	4.479	2.878	-1.471	-0.559	3.052	2.849	2.744	3.872	2.904	0.504	0.388	4.398	0.154	-1.939	-1.765	2.599	3.744	0.913	-2.125	-2.508	-0.405	-2.465	1.329	0.052	3.869	1.134	-1.591	-1.628	1.407	2.385	2.519	2.918	3.055	3.060	3.080	2023	
918	BGR	NGDP_RPCH	Bulgaria	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	5.700	5.300	4.200	3.000	4.600	1.800	5.300	4.700	2.400	-0.500	-9.100	-10.755	-8.426	-11.625	-3.665	-1.601	5.205	-14.115	3.789	-8.396	4.587	3.824	5.872	5.237	6.510	7.056	6.803	6.654	6.130	-3.347	1.555	2.090	0.749	-0.543	0.949	3.398	3.027	2.746	2.695	4.035	-3.966	7.662	3.926	1.846	2.737	2.925	2.930	2.650	2.740	2.585	2023	
748	BFA	NGDP_RPCH	Burkina Faso	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	4.035	2.661	1.400	-1.200	1.600	11.300	7.955	-0.236	5.796	2.150	-0.603	9.070	0.233	3.461	1.315	5.716	11.015	6.317	7.308	7.333	1.888	6.613	4.353	7.802	4.478	8.662	6.253	4.111	5.800	2.962	8.446	6.623	6.453	5.793	4.327	3.921	5.958	6.203	6.605	5.486	1.922	6.938	1.780	3.561	5.464	5.793	4.975	4.918	4.947	4.976	2022	
618	BDI	NGDP_RPCH	Burundi	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	-6.825	12.164	-1.054	3.715	0.155	11.784	3.250	5.503	5.031	1.349	3.458	5.781	1.007	-6.236	-3.829	-7.919	-8.001	0.413	4.752	1.164	1.781	1.665	2.353	2.469	3.766	4.370	5.414	3.452	4.862	3.813	5.124	4.033	4.447	4.924	4.241	-3.900	-0.600	0.500	1.610	1.842	0.335	3.119	1.827	2.659	4.282	5.350	6.045	6.004	5.529	5.012	2022	
624	CPV	NGDP_RPCH	Cabo Verde	Gross domestic product, constant prices	Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]	Percent change	Units	See notes for:  Gross domestic product, constant prices (National currency).	5.263	8.452	2.825	9.521	3.783	8.642	2.871	4.309	5.997	5.698	0.692	1.404	3.044	7.311	6.930	7.492	6.694	7.639	8.413	11.860	7.267	6.138	5.300	7.502	4.927	5.810	9.118	15.200	7.039	-1.504	1.836	3.925	1.084	0.632	0.697	0.936	4.281	4.551	3.707	6.948	-20.805	5.615	17.117	4.792	4.742	4.732	4.622	4.586	4.492	4.507	2022	
